"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time","37230","24384075","601","2512","351676","566.762288"
"2","Dark Souls","7605","5670555","677","5671","134810","1063.589743"
"3","Yu-Gi-Oh! Forbidden Memories","7560","5804025","759","2130","65673","521.214285"
"4","Super Mario Odyssey","6825","3401400","467","2042","51563","453.301098"
"5","The Legend of Zelda: A Link to the Past","4590","2549220","511","1018","43525","568.954248"
"6","Phoenix Wright: Ace Attorney Trilogy HD","4155","2001465","487","831","21313","307.768953"
"7","Spyro Reignited Trilogy","3585","2918925","730","4342","72070","1206.192468"
"8","Kingdom Hearts III","2955","2064915","684","1287","35749","725.86802"
"9","Phoenix Wright: Ace Attorney","2265","2117550","906","1720","30702","813.298013"
"10","Crash Bandicoot N. Sane Trilogy","1980","1575195","703","1698","19742","598.242424"
"11","Super Mario Maker 2","1875","1380270","710","2578","16867","539.744"
"12","The Legend of Zelda: Majora's Mask","1755","1626480","876","1840","18640","637.264957"
"13","Super Mario 64","1680","1217745","644","1370","21121","754.321428"
"14","Dark Souls II: Scholar of the First Sin","1560","711315","454","616","9097","349.884615"
"15","Hollow Knight","1530","652275","404","606","8644","338.980392"
"16","Banjo-Tooie","1485","1258260","789","1194","20136","813.575757"
"17","Dark Souls III","1380","704565","505","659","7380","320.869565"
"18","Professor Layton and the Curious Village","1290","834795","648","1447","7170","333.488372"
"19","Zero Escape: Nine Hours, Nine Persons, Nine Doors","1245","761865","600","745","9904","477.301204"
"20","Final Fantasy IX","1230","686820","455","812","7307","356.439024"
"21","Donkey Kong Country 2: Diddy's Kong Quest","1215","609855","438","852","8475","418.518518"
"22","Persona 5","1185","623805","545","757","6524","330.329113"
"23","Battletoads","1170","642195","556","1824","8408","431.179487"
"24","Resident Evil 2","1155","469245","359","824","11703","607.948051"
"25","Mario & Luigi: Superstar Saga","1080","708510","656","853","7341","407.833333"
"26","Donkey Kong 64","1005","1591440","1299","2045","15279","912.179104"
"27","Super Mario RPG: Legend of the Seven Stars","930","1143990","1173","1994","16647","1074"
"28","F-Zero GX","900","924945","926","1448","10156","677.066666"
"29","The Legend of Zelda: Link's Awakening","855","595020","640","926","7013","492.14035"
"30","Bloodborne","855","430170","492","590","5616","394.105263"
"31","Banjo-Kazooie","720","974685","1229","2063","9523","793.583333"
"32","Resident Evil 4","705","282240","385","958","4274","363.74468"
"33","Tetris","690","473325","687","826","9372","814.956521"
"34","Mario Party 3","630","845070","1327","1681","13749","1309.428571"
"35","Pikmin 3","555","660015","1054","1354","7763","839.243243"
"36","Resident Evil","510","195090","388","458","2116","248.941176"
"37","The End Is Nigh","510","224010","439","523","4168","490.352941"
"38","Castlevania: Symphony of the Night","495","1664850","2613","8984","179217","21723.272727"
"39","Pokémon Trading Card Game","495","624420","1205","1534","8313","1007.636363"
"40","Castlevania: Legacy of Darkness","480","675135","1314","1530","6218","777.25"
"41","Donkey Kong Country: Tropical Freeze","480","459420","816","2691","9281","1160.125"
"42","Katamari Damacy","450","230280","463","653","2820","376"
"43","PictoQuest","420","137955","398","578","4417","631"
"44","Super Metroid","420","267750","642","1280","4808","686.857142"
"45","Captain Toad: Treasure Tracker","405","505665","958","1560","5314","787.259259"
"46","Portal 2","390","101895","233","461","2777","427.230769"
"47","Sly Cooper and the Thievius Raccoonus","345","463560","1264","1849","5655","983.47826"
"48","Pokémon: Let's Go, Pikachu!","345","456795","1144","1629","5457","949.043478"
"49","Bomberman Hero","315","434250","1378","1687","5102","971.809523"
"50","Pokémon Yellow","285","136020","477","535","2657","559.368421"
"51","Monopoly Family Fun Pack","285","174105","605","784","4740","997.894736"
"52","Super Mario Bros. 3","255","347715","1455","1747","4434","1043.294117"
"53","Pokémon FireRed/LeafGreen","255","177990","623","862","1952","459.294117"
"54","Phoenix Wright: Ace Attorney Trilogy","255","143190","561","694","1245","292.941176"
"55","Donkey Kong Jungle Beat","225","180720","803","1009","3398","906.133333"
"56","Mario Kart 8","210","263865","1256","1349","1980","565.714285"
"57","Super Smash Bros. Ultimate","195","54300","248","353","1394","428.923076"
"58","Super Mario Galaxy 2","195","76935","394","467","872","268.307692"
"59","Super Mario Sunshine","165","296355","1796","1915","2765","1005.454545"
"60","Celeste","165","64260","389","459","1130","410.90909"
"61","Sonic the Hedgehog 3","150","54630","364","485","1292","516.8"
"62","Mario Superstar Baseball","150","201345","1342","1577","2958","1183.2"
"63","Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda","150","38220","141","351","701","280.4"
"64","Mega Man 2","150","64350","428","506","1296","518.4"
"65","Untitled Goose Game","135","71160","527","582","684","304"
"66","Mario Party","120","55950","489","599","1107","553.5"
"67","Talk Shows & Podcasts","120","19020","117","194","407","203.5"
