"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers"
"1","Kingdom Hearts HD 1.5 + 2.5 ReMIX","29865","15886905","521","1198"
"2","The Legend of Zelda: Ocarina of Time","15885","8744130","536","6141"
"3","Pokémon FireRed/LeafGreen","15810","8567400","479","1363"
"4","Donkey Kong 64","15300","8957535","570","2164"
"5","Elden Ring","9645","3687870","387","2235"
"6","Donkey Kong Country: Tropical Freeze","6840","3215790","480","1002"
"7","The Legend of Zelda: Majora's Mask","6780","3595020","538","876"
"8","Final Fantasy IX","6315","3511185","509","1123"
"9","Super Mario Odyssey","5040","3072255","581","1488"
"10","Fire Emblem: The Blazing Blade","4005","1635030","407","633"
"11","Final Fantasy X","3075","3391230","1091","1438"
"12","Hades","2655","1943895","730","2878"
"13","Yu-Gi-Oh! Forbidden Memories","2325","1315080","617","1305"
"14","Super Mario Sunshine","1680","1227285","650","934"
"15","Super Mario 64","1290","1200990","811","5648"
"16","Super Mario RPG: Legend of the Seven Stars","1275","742155","574","819"
"17","Super Mario Galaxy 2","1065","885375","738","1069"
"18","Talk Shows & Podcasts","960","218445","300","718"
"19","Super Mario 3D World + Bowser's Fury","960","643455","733","993"
"20","Dark Souls","945","495225","547","688"
"21","Super Meat Boy","840","345900","296","550"
"22","Paper Mario","840","531645","633","797"
"23","Dark Souls II","840","446220","563","640"
"24","Pokémon Trading Card Game","810","312840","396","558"
"25","Crash Bandicoot","795","503805","618","943"
"26","The Legend of Zelda: Breath of the Wild","735","533325","774","1648"
"27","Super Mario Galaxy","690","619215","855","1092"
"28","Demon's Souls","660","281715","406","689"
"29","Kingdom Hearts II","660","372180","622","1042"
"30","Mario Party Superstars","630","294375","469","645"
"31","Super Mario 3D World","615","415470","678","782"
"32","Dark Souls III","615","249150","418","546"
"33","Donkey Kong Country","600","405690","609","856"
"34","Celeste","570","215295","369","476"
"35","Banjo-Kazooie","555","487905","948","1138"
"36","Bloodborne","510","170595","333","393"
"37","Chrono Cross","495","280080","565","677"
"38","Retro","495","418245","966","2096"
"39","Shovel Knight","465","198420","426","526"
"40","Pokémon Legends: Arceus","435","257295","431","885"
"41","Zelda II: The Adventure of Link","375","317460","865","907"
"42","Sonic the Hedgehog","375","228480","601","1090"
"43","Sekiro: Shadows Die Twice","345","112200","325","389"
"44","Resident Evil","330","170955","518","653"
"45","Mega Man X3","285","182430","640","802"
"46","Metroid: Zero Mission","270","181515","362","750"
"47","Rayman Legends","270","114000","336","692"
"48","Mega Man","255","175980","690","875"
"49","The Legend of Zelda","240","158640","661","791"
"50","Super Metroid","240","128865","536","670"
"51","Super Mario World","225","263955","1140","1438"
"52","The Legend of Zelda: Skyward Sword","225","447765","1883","5114"
"53","Super Mario World 2: Yoshi's Island","210","292740","1394","1866"
"54","Rayman","210","108360","516","712"
"55","Rayman 2: The Great Escape","210","142365","701","792"
"56","Sonic the Hedgehog 3","195","197265","1011","1043"
"57","Diddy Kong Racing","180","145665","809","843"
"58","Rayman Origins","180","122925","682","700"
"59","Mischief Makers","180","134865","749","848"
"60","Goose Goose Duck","180","51585","286","309"
"61","The Legend of Zelda: A Link to the Past","180","275685","1517","1682"
"62","Picross S4","180","39825","213","346"
"63","Super Mario Bros.: The Lost Levels","165","147420","893","917"
"64","Pokémon Stadium","165","182235","1097","1137"
"65","Pokémon Crystal","150","231945","1546","1582"
"66","Donkey Kong Country Returns","150","119985","799","816"
"67","Super Mario Bros.","150","82560","550","785"
"68","Super Mario Bros. 3","150","129690","864","920"
"69","Mega Man 4","135","116475","862","881"
"70","Pokémon Stadium","120","79440","662","780"
"71","Sonic Mania","120","100485","837","979"
"72","Bloodstained: Curse of the Moon","120","54510","454","888"
"73","Crash Bandicoot: Warped","120","38385","319","466"
"74","Castlevania: Symphony of the Night","105","117075","1115","1178"
"75","Metroid Dread","105","119670","1139","1252"
"76","Mega Man 6","105","92010","876","904"
"77","Hollow Knight","105","120135","1144","1274"
"78","Donkey Kong Land","105","56040","533","580"
"79","Mega Man X","90","77265","858","870"
"80","Donkey Kong Country 3: Dixie Kong's Double Trouble!","90","72900","810","824"
"81","Donkey Kong Country 2","90","63750","708","743"
"82","Mega Man X2","90","76575","850","864"
"83","Sonic the Hedgehog 2","75","65145","868","901"
"84","Pokémon Red","75","20400","272","465"
"85","Mario Party","75","55920","745","814"
"86","Sesame Street: Elmo's Number Journey","60","32670","544","555"
"87","Bloodstained: Ritual of the Night","45","48435","1076","1108"
"88","Bloodstained: Curse of the Moon 2","30","29535","984","1047"
"89","Mega Man 5","15","13350","890","890"
