"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon Sword/Shield","31260","34958985","1077","1848","376678","722.990403"
"2","Mafia.gg","22215","18139170","821","1415","282058","761.804186"
"3","Call of Duty: Warzone","14895","9781245","665","1608","250504","1009.079556"
"4","The Legend of Zelda: Ocarina of Time","12630","11848965","909","1775","306548","1456.285035"
"5","Pokémon HeartGold/SoulSilver","10950","14358150","1166","2514","117712","644.99726"
"6","Super Mario 64","6045","6124455","939","2033","80926","803.235732"
"7","Old School RuneScape","5670","4704420","773","1458","49543","524.26455"
"8","Among Us","5130","5669715","1116","1743","57419","671.567251"
"9","Bingo","5070","3512505","669","1896","91964","1088.33136"
"10","La-Mulana","4845","4286475","869","1242","105935","1311.888544"
"11","Pokémon Black/White","4695","5209890","1042","1691","50828","649.559105"
"12","Super Mario Bros. 35","4545","5326650","1111","2028","57651","761.069306"
"13","Pokémon FireRed/LeafGreen","2460","2721480","995","1779","42967","1047.975609"
"14","Sports","2430","1248630","526","1102","32628","805.629629"
"15","Dai Gyakuten Saiban: Naruhodou Ryuunosuke no Bouken","2205","1494450","670","1170","10653","289.877551"
"16","Tales of Berseria","1950","1270755","675","1100","16897","519.907692"
"17","Paper Mario: The Origami King","1905","2046255","1070","1519","13820","435.27559"
"18","The Legend of Zelda: Majora's Mask","1845","2147835","1219","2165","51344","1669.723577"
"19","AI: The Somnium Files","1725","1406310","812","1342","38638","1343.930434"
"20","Paper Mario: The Thousand-Year Door","1710","1656720","911","1574","20978","736.070175"
"21","Pokémon Stadium","1500","1713525","1082","1828","35807","1432.28"
"22","Mario Party 3","1080","1923075","1470","2508","24494","1360.777777"
"23","Paper Mario","975","1134960","1106","1641","26740","1645.538461"
"24","Pokémon Trading Card Game","960","1053480","983","1516","21331","1333.1875"
"25","Super Mario RPG: Legend of the Seven Stars","915","1271265","1396","2918","70192","4602.754098"
"26","Pokémon Stadium 2","900","1269825","1269","1688","13874","924.933333"
"27","Yu-Gi-Oh! The Duelists of the Roses","900","845745","739","1101","10202","680.133333"
