"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time","33105","20748720","603","10662","273253","495.247847"
"2","Kingdom Hearts HD 1.5 + 2.5 ReMIX","24120","12596325","512","1192","141196","351.23383"
"3","Kingdom Hearts II Final Mix","15375","7553760","480","1073","79265","309.326829"
"4","Super Mario Odyssey","9090","5797770","627","2425","60851","401.656765"
"5","Donkey Kong Country: Tropical Freeze","4590","2387235","525","936","26990","352.810457"
"6","Phoenix Wright: Ace Attorney - Spirit of Justice","2820","1201710","421","615","10818","230.170212"
"7","Skies of Arcadia","2235","1090965","491","891","14972","401.932885"
"8","Dark Souls III","1905","757920","374","730","7513","236.629921"
"9","Sekiro: Shadows Die Twice","1770","732945","435","2131","8417","285.322033"
"10","Dark Souls II","1710","671775","380","521","7702","270.245614"
"11","Shovel Knight","1620","650715","423","590","5812","215.259259"
"12","EarthBound","1620","839055","498","697","7291","270.037037"
"13","Paper Mario","1605","987150","558","1191","12340","461.308411"
"14","Golden Sun","1455","673320","466","700","6356","262.103092"
"15","Dark Souls","1455","570660","397","580","6119","252.329896"
"16","Demon's Souls","1320","633675","458","1498","12229","555.863636"
"17","Super Mario 64","1230","823500","767","3269","11530","562.439024"
"18","Pokémon Black/White","1215","563475","441","608","4964","245.135802"
"19","Professor Layton and the Unwound Future","1170","731805","629","760","5792","297.025641"
"20","Mario Party 2","1170","808860","596","944","9672","496"
"21","Donkey Kong Country","1125","936570","777","1360","7775","414.666666"
"22","Pokémon Stadium 2","1065","1013250","943","1535","11224","632.338028"
"23","Metroid Dread","1020","448770","444","520","3777","222.17647"
"24","Super Mario Bros.","915","827610","743","1458","7283","477.57377"
"25","Mario Party 3","885","2066475","1592","16832","303104","20549.423728"
"26","Rocket: Robot on Wheels","855","682515","668","1073","7222","506.807017"
"27","Ori and the Will of the Wisps","810","387780","378","849","10339","765.851851"
"28","Super Mario RPG: Legend of the Seven Stars","750","827625","1110","1402","9152","732.16"
"29","Kingdom Hearts HD 2.8 Final Chapter Prologue","735","544650","736","862","4573","373.306122"
"30","Donkey Kong Country","735","573030","819","1019","5580","455.510204"
"31","Hollow Knight","690","295290","480","983","3403","295.913043"
"32","Super Mario 3D World + Bowser's Fury","675","595275","713","1386","5587","496.622222"
"33","The Legend of Zelda: Breath of the Wild","645","1396440","1527","9314","187564","17447.813953"
"34","Pokémon FireRed/LeafGreen","615","784230","1216","1709","7450","726.829268"
"35","Risk II","615","620985","1113","1911","7293","711.512195"
"36","Crash Bandicoot 4: It's About Time","615","290700","452","624","2501","244"
"37","SpongeBob SquarePants: Battle For Bikini Bottom","615","603525","892","1350","7446","726.439024"
"38","Donkey Kong Country 2: Diddy's Kong Quest","600","239820","397","557","2393","239.3"
"39","Jak and Daxter: The Precursor Legacy","600","294825","467","617","2439","243.9"
"40","Castlevania: Aria of Sorrow","570","237060","331","559","3047","320.736842"
"41","Super Mario Galaxy","540","364395","643","848","3020","335.555555"
"42","Mario Party","540","409020","608","1001","4105","456.111111"
"43","Sonic Adventure 2","525","438000","831","1019","3856","440.685714"
"44","Sonic the Hedgehog","510","235665","462","631","2394","281.647058"
"45","Pikmin 3","495","546960","976","1385","8901","1078.90909"
"46","Talk Shows & Podcasts","495","178140","366","494","2044","247.757575"
"47","Shadow the Hedgehog","495","362160","731","915","3680","446.060606"
"48","Ape Escape","480","582405","1089","1359","7590","948.75"
"49","Yu-Gi-Oh! Forbidden Memories","480","339765","716","871","2687","335.875"
"50","Castlevania","480","466140","957","1549","7077","884.625"
"51","Yooka-Laylee and the Impossible Lair","480","229695","457","696","3894","486.75"
"52","Retro","450","223395","496","592","1881","250.8"
"53","Sonic Adventure DX: Director's Cut","450","479190","872","1325","4790","638.666666"
"54","Pokémon Red/Blue","435","332160","700","997","3854","531.586206"
"55","A Hat in Time","435","278265","636","929","3672","506.482758"
"56","Bloodborne","390","229995","589","717","2162","332.615384"
"57","Mario Party Superstars","375","182235","487","639","1994","319.04"
"58","Donkey Kong Land","375","121785","335","400","1321","211.36"
"59","Super Metroid","375","160410","498","741","1597","255.52"
"60","Undertale","345","356010","907","1223","3498","608.347826"
"61","Wario Land 4","345","379650","1052","2158","4295","746.956521"
"62","Metroid: Zero Mission","330","417360","1064","2250","4729","859.818181"
"63","Zelda: The Wand of Gamelon","315","199875","516","1496","2526","481.142857"
"64","Sly Cooper and the Thievius Raccoonus","315","146025","463","631","1431","272.571428"
"65","The Elder Scrolls V: Skyrim","315","283275","899","1529","4041","769.714285"
"66","Super Mario Bros. 35","315","246690","892","1243","3788","721.523809"
"67","Pokémon Stadium","285","245190","860","1911","3425","721.052631"
"68","Sonic Lost World","285","145590","504","575","1270","267.368421"
"69","Donkey Kong Country 3: Dixie Kong's Double Trouble!","270","145590","485","689","1688","375.111111"
"70","Yu-Gi-Oh! The Duelists of the Roses","270","291375","1079","1347","4226","939.111111"
"71","Sonic Advance 2","255","196890","792","874","1971","463.764705"
"72","The Legend of Zelda: Link's Awakening","255","165000","647","754","2034","478.588235"
"73","Super Mario 3D World","240","140820","586","632","1613","403.25"
"74","Pokémon Trading Card Game","240","190650","781","1167","3089","772.25"
"75","Mario vs. Donkey Kong","240","239880","999","1270","2895","723.75"
"76","Spyro 2: Ripto's Rage! - Reignited","225","104970","469","543","943","251.466666"
"77","Donkey Kong 64","225","169005","751","974","1569","418.4"
"78","Mario Golf: Toadstool Tour","225","323775","1439","2071","4754","1267.733333"
"79","Sonic Generations","210","116910","556","620","1521","434.571428"
"80","Mario Kart 8 Deluxe","210","294300","1394","1502","2947","842"
"81","Foregone","210","54360","240","316","615","175.714285"
"82","Aeon Drive","195","72465","368","488","1277","392.923076"
"83","Clan O'Conall and the Crown of the Stag","195","61650","316","362","1386","426.461538"
"84","Super Mario Party","195","120120","620","816","2253","693.230769"
"85","Sonic Colors","195","84420","432","601","2993","920.923076"
"86","Cuphead","180","77205","428","512","1189","396.333333"
"87","Pokémon Crystal","165","84975","493","624","628","228.363636"
"88","Super Monkey Ball 2","150","96810","645","791","1329","531.6"
"89","Castle Crashers","150","84975","566","622","785","314"
"90","Mario Golf: Super Rush","135","50505","374","542","921","409.333333"
"91","Celeste","135","56715","420","549","1133","503.555555"
"92","Sonic the Hedgehog 2","135","49845","358","472","672","298.666666"
"93","NEO: The World Ends with You","135","44565","330","358","535","237.777777"
"94","The Flintstones: Bedrock Bowling","135","43860","324","393","660","293.333333"
"95","Picross S: Genesis & Master System Edition","120","59535","459","606","715","357.5"
"96","It Takes Two","120","29775","248","399","516","258"
"97","Super Mario Maker 2","120","164490","1370","1544","1661","830.5"
"98","Sonic Advance","120","52005","433","675","713","356.5"
"99","Sonic Mania","120","56820","473","529","483","241.5"
"100","Streets of Rage 2","105","139260","1327","1355","2065","1180"
