"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Mafia.gg","34410","27415875","794","1372","880919","1536.040104"
"2","Super Mario Maker 2","21555","30023745","1279","2842","580304","1615.320807"
"3","The Legend of Zelda: Ocarina of Time","18930","18295800","924","2398","440329","1395.654516"
"4","Pokémon Stadium 2","11850","18459720","1501","2332","350732","1775.858227"
"5","Pokémon Sword/Shield","7665","9027120","1049","1829","303585","2376.399217"
"6","Fire Emblem: Radiant Dawn","4335","3487905","803","1120","119262","1650.685121"
"7","World of Warcraft","3600","2767320","756","1330","105295","1754.916666"
"8","Mario Party 3","2670","4001310","1465","3318","112386","2525.528089"
"9","Tales of Symphonia","2610","1913430","759","1178","44688","1027.310344"
"10","Pokémon FireRed/LeafGreen","2595","2534955","924","1401","68990","1595.144508"
"11","PUBG: BATTLEGROUNDS","2595","2105460","843","1842","66267","1532.184971"
"12","Super Mario Maker","2370","2245920","877","1797","45181","1143.822784"
"13","Pokémon Trading Card Game","2355","2580795","964","1832","71154","1812.840764"
"14","Donkey Kong 64","2220","3053490","1306","1972","53369","1442.405405"
"15","Pokémon Stadium","2055","2865180","1166","1960","48442","1414.364963"
"16","NieR: Automata","1950","1173990","591","837","43792","1347.446153"
"17","Yu-Gi-Oh! Forbidden Memories","1935","1756650","831","1686","32843","1018.387596"
"18","Old School RuneScape","1920","1070385","560","1239","55276","1727.375"
"19","Winnie the Pooh's Home Run Derby!","1890","1216935","626","1181","64838","2058.349206"
"20","Mother 3","1815","1913190","1034","1547","43187","1427.669421"
"21","Kingdom Hearts II","1725","1408335","828","1143","25667","892.765217"
"22","Paper Mario","1470","1269000","794","1557","35007","1428.857142"
"23","The Lord of the Rings Online","1440","658635","445","707","33523","1396.791666"
"24","Super Smash Bros. Ultimate","1350","1120305","765","1418","25154","1117.955555"
"25","Dark Souls","1350","1131975","892","1800","29652","1317.866666"
"26","Resident Evil 4","1230","1286865","1039","1639","29266","1427.609756"
"27","Catherine","1200","1336455","1118","1539","25404","1270.2"
"28","Super Mario RPG: Legend of the Seven Stars","1185","1347630","1090","1688","25098","1270.78481"
"29","Star Fox Adventures","1140","927780","760","1266","19963","1050.68421"
"30","Professor Layton and the Miracle Mask","1095","779625","703","1008","21384","1171.726027"
"31","Just Chatting","1065","634830","666","1213","16110","907.605633"
"32","Pokémon Emerald","1005","1098720","1073","1409","8653","516.597014"
"33","Hotel Dusk: Room 215","1005","686460","681","997","12072","720.716417"
"34","Pokémon HeartGold/SoulSilver","975","897855","907","1354","19353","1190.953846"
"35","Resident Evil 2","975","604815","605","827","13140","808.615384"
"36","Tetris","945","750165","833","1118","17119","1086.920634"
"37","The Elder Scrolls V: Skyrim","945","899775","961","1145","21903","1390.666666"
"38","Super Mario 3D World","870","978045","1039","1363","30641","2113.172413"
"39","Ys: The Oath in Felghana","855","479370","565","713","20109","1411.157894"
"40","Risk II","825","746505","896","1335","18179","1322.10909"
"41","The Legend of Zelda: Majora's Mask","765","1199790","1530","1904","18358","1439.843137"
"42","Wargroove","765","403245","532","838","10506","824"
"43","Getting Over It with Bennett Foddy","720","747150","1031","1503","15041","1253.416666"
"44","Bingo","705","261735","330","669","12647","1076.340425"
"45","F-Zero GX","675","735720","892","1423","16750","1488.888888"
"46","Mario Kart 8","645","593790","864","1542","9239","859.44186"
"47","Castlevania: Legacy of Darkness","645","772110","1072","1627","17898","1664.930232"
"48","Monkey Island 2: LeChuck's Revenge","630","519840","847","1120","12380","1179.047619"
"49","The Jackbox Party Pack 6","615","565935","937","1323","11675","1139.02439"
"50","Captain Toad: Treasure Tracker","615","925830","1556","2114","12956","1264"
"51","Glover","600","550170","820","1103","9380","938"
"52","Spyro Reignited Trilogy","570","1090950","1418","4228","80587","8482.842105"
"53","The World Ends with You","555","237225","404","583","6345","685.945945"
"54","Pikmin 3","525","762465","1246","1733","13116","1498.971428"
"55","Castlevania: Symphony of the Night","525","1170495","2373","5872","48355","5526.285714"
"56","Banjo-Kazooie","510","628170","1121","1617","14520","1708.235294"
"57","Castlevania: Aria of Sorrow","495","421515","819","1173","13233","1604"
"58","Pokémon Crystal","450","296835","675","795","4009","534.533333"
"59","Total War: Three Kingdoms","435","300525","694","1019","18151","2503.586206"
"60","Super Mario 64 DS","435","365955","822","1155","8721","1202.896551"
"61","Banjo-Tooie","375","243000","603","809","3611","577.76"
"62","Sly Cooper and the Thievius Raccoonus","360","366075","957","1404","7672","1278.666666"
"63","Pokémon: Let's Go, Pikachu!","345","371145","938","1315","6062","1054.260869"
"64","Mario Golf: Toadstool Tour","330","564435","1710","1998","6204","1128"
"65","Bomberman Hero","330","416490","1262","1512","5963","1084.181818"
"66","Katamari Damacy","300","224010","746","1030","5415","1083"
"67","Castlevania: Rondo of Blood","285","230985","810","1039","8510","1791.578947"
"68","Super Smash Bros. Melee","285","226095","793","1000","6868","1445.894736"
"69","Yakuza Kiwami","285","119715","418","543","3775","794.736842"
"70","High School Musical","285","166965","463","880","8007","1685.68421"
"71","Club Life","270","171750","636","807","5394","1198.666666"
"72","Super Mario Bros. 3","255","297045","1131","1569","4340","1021.17647"
"73","Super Mario Party","255","482535","1892","2376","5950","1400"
"74","Special Events","255","206190","685","1087","2859","672.705882"
"75","Donkey Kong Jungle Beat","240","159630","665","816","4659","1164.75"
"76","Duck Game","225","109440","486","620","2255","601.333333"
"77","Sea of Thieves","210","147660","703","816","5283","1509.428571"
"78","Donkey Kong Country 2: Diddy's Kong Quest","210","121500","533","724","1915","547.142857"
"79","Super Mario Odyssey","195","315105","1615","2043","6405","1970.76923"
"80","The Legend of Zelda: Link's Awakening","180","134580","747","829","3458","1152.666666"
"81","The Jackbox Party Pack 5","165","136785","829","1035","2294","834.181818"
"82","Are You Afraid of the Dark? The Tale of Orpheo's Curse","165","154305","935","1193","2291","833.090909"
"83","Super Mario Sunshine","150","273105","1820","1915","4585","1834"
"84","Cardpocalypse","135","148500","1100","1308","6322","2809.777777"
"85","Mario Kart 64","135","147360","1091","1530","2309","1026.222222"
"86","Super Mario 64","135","150945","1118","1183","4064","1806.222222"
"87","Gamer 2","120","53460","445","590","3936","1968"
"88","League of Legends","120","64500","537","723","1659","829.5"
"89","Call of Duty: Warzone","120","38385","292","370","550","275"
"90","Surviving the Aftermath","105","101340","965","999","6350","3628.571428"
"91","The Legend of Heroes: Trails of Cold Steel III","105","44310","422","590","3176","1814.857142"
"92","Minecraft","90","52665","585","748","1136","757.333333"
"93","Sesame Street: Elmo's Number Journey","60","78900","1315","1370","1654","1654"
"94","Robot Unicorn Attack","30","25650","855","857","1771","3542"
