"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers"
"1","Pokémon FireRed/LeafGreen","69330","224369370","3001","10423"
"2","Pokémon Scarlet/Violet","25155","52057050","1993","3373"
"3","Old School RuneScape","13320","12145995","888","3300"
"4","The Legend of Zelda: Ocarina of Time","8955","14796210","1523","2772"
"5","Mafia.gg","8310","7624395","896","2495"
"6","Persona 3 FES","3900","4007655","936","1735"
"7","Paper Mario","3270","5492145","1423","2265"
"8","Retro","2610","4499040","1526","3294"
"9","Final Fantasy VII Remake","2460","2536440","940","1488"
"10","Skies of Arcadia Legends","2400","1852065","743","1687"
"11","Pokémon Stadium 2","1815","3648600","1963","2891"
"12","Mario Party 3","1710","3126720","1689","2569"
"13","Hollow Knight","1665","2429700","1465","3766"
"14","Ōkami","1605","1606050","1008","2084"
"15","Super Mario 64","1365","2055450","1217","2316"
"16","Pokémon Stadium","1245","2557380","2047","2900"
"17","Yakuza Kiwami 2","1230","1078995","863","2084"
"18","Yu-Gi-Oh! Forbidden Memories","1095","2265570","2121","2859"
"19","Fall Guys","1050","1082085","1016","1596"
"20","Bug Fables: The Everlasting Sapling","1020","896700","873","1447"
"21","RISK: The Game of Global Domination","915","1005090","1061","1525"
"22","Super Mario Bros.","870","1297050","1430","2079"
"23","Risk II","795","1201185","1494","1902"
"24","Star Wars: Jedi Knight - Jedi Academy","630","369255","584","1069"
"25","Jackbox Party Packs","555","580590","847","1329"
"26","Super Mario Maker 2","495","640530","1278","1929"
"27","Just Chatting","435","443100","1307","2953"
"28","Sports","435","284070","619","2332"
"29","Jump King","405","595455","1363","1812"
"30","Oregon Trail II","405","903810","2158","3023"
"31","Who Wants to Be a Millionaire","360","603705","1737","2087"
"32","The Stanley Parable: Ultra Deluxe","360","458370","889","1567"
"33","Super Smash Bros. Melee","345","491565","1441","2385"
"34","Silent Hill 2","315","293250","774","1139"
"35","Special Events","300","375825","1159","1446"
"36","Sid Meier's Civilization VI","285","306810","1076","1293"
"37","PUBG: BATTLEGROUNDS","255","186285","717","882"
"38","Donkey Kong 64","255","320415","1141","1533"
"39","Ninja Gaiden","240","389145","1621","2301"
"40","Mario Party 2","225","265335","1358","1617"
"41","Untitled Goose Game","225","276825","1230","1421"
"42","Mario Party Superstars","210","210990","1004","1207"
"43","Dragon Ball: The Breakers","165","188220","937","1335"
"44","Apex Legends","165","95205","577","737"
"45","Pokémon Showdown","165","117105","709","845"
"46","Eyes in the Dark","150","308355","2055","3269"
"47","Risk of Rain 2","150","178530","1190","1386"
"48","Scorn","150","141810","945","1079"
"49","Pokémon Stadium","150","255195","1701","2169"
"50","Learning Fun II","135","106305","787","1048"
"51","13 Sentinels: Aegis Rim","135","223965","1659","2177"
"52","Hook","120","91440","762","1099"
"53","Minecraft","90","118095","1312","1709"
"54","Teenage Mutant Ninja Turtles IV: Turtles in Time","90","63540","706","1125"
"55","Food & Drink","75","34680","462","596"
