winner,grouping,Game,Category,MOMAM,is_any_percent,is_hundo,is_in_game_challenge,is_cpu_battle,is_bonus,is_hard_mode,is_sub_battle,is_romhack,is_randomizer,pie_won_last,platform_dos,platform_gb,platform_gba,platform_gbc,platform_n64,platform_nds,platform_nes,platform_ngc,platform_ps,platform_ps2,platform_snes__1,platform_switch,platform_wii,platform_wiiu,platform_win
spike,1,The Legend of Zelda: Link to the Past,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pie,2,Zelda II: The Adventure of Link,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pie,3,The Legend of Zelda: Link's Awakening DX,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pie,4,The Legend of Zelda: Majora's Mask,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spike,5,Mario Golf 64,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spike,6,Mario is Missing!,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pie,7,Mario Kart 64,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spike,8,Mario Party 3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pie,9,Mario Teaches Typing,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pie,10,New Super Mario Bros. U,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
spike,11,The Legend of Zelda: Ocarina of Time,0%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spike,12,The Legend of Zelda: Ocarina of Time,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pie,13,The Legend of Zelda: Oracle of Ages,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pie,14,The Legend of Zelda: Oracle of Seasons,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pie,15,The Legend of Zelda: Spirit Tracks,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spike,16,Super Mario 64,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spike,17,Super Mario 3D World,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
spike,18,Super Mario Bros.,Warpless,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spike,18,Super Mario Bros.: The Lost Levels,Warpless,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spike,18,Super Mario Bros. 2,Warpless,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spike,18,Super Mario Bros. 3,Warpless,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spike,19,Super Mario Galaxy 2,100%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
spike,20,Super Mario Galaxy,Any%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
spike,21,Super Mario Land,Any%,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spike,21,Super Mario Land 2: 6 Golden Coins,Any%,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pie,22,Super Mario Maker,Best of 7 Expert No Skip,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
