MOMAM,grouping,game,category,winner
1,1,The Legend of Zelda: A Link to the Past,Any%,spike
1,2,Zelda II: The Adventure of Link,Any%,pie
1,3,The Legend of Zelda: Link's Awakening DX,Any%,pie
1,4,The Legend of Zelda: Majora's Mask,Any%,pie
1,5,Mario Golf,Any%,spike
1,6,Mario Is Missing!,Any%,spike
1,7,Mario Kart 64,Any%,pie
1,8,Mario Party 3,Any%,spike
1,9,Mario Teaches Typing,Any%,pie
1,10,New Super Mario Bros. U,Any%,pie
1,11,The Legend of Zelda: Ocarina of Time,100%,spike
1,12,The Legend of Zelda: Ocarina of Time,Any%,spike
1,13,The Legend of Zelda: Oracle of Ages,Any%,pie
1,14,The Legend of Zelda: Oracle of Seasons,Any%,pie
1,15,The Legend of Zelda: Spirit Tracks,Any%,pie
1,16,Super Mario 64,100%,spike
1,17,Super Mario 3D World,Any%,spike
1,18,Super Mario Bros.,Challenge,spike
1,18,Super Mario Bros.: The Lost Levels,Challenge,spike
1,18,Super Mario Bros. 2,Challenge,spike
1,18,Super Mario Bros. 3,Challenge,spike
1,19,Super Mario Galaxy 2,100%,spike
1,20,Super Mario Galaxy,Any%,spike
1,21,Super Mario Land,Any%,spike
1,21,Super Mario Land 2: 6 Golden Coins,Any%,spike
1,22,Super Mario Maker,Challenge,pie
1,23,Super Mario RPG: Legend of the Seven Stars,Challenge,pie
1,24,Super Mario Sunshine,Challenge,spike
1,25,Super Mario World,100%,spike
1,26,The Legend of Zelda: Twilight Princess HD,Any%,spike
1,27,The Legend of Zelda: The Wind Waker HD,Any%,pie
1,28,Super Mario World 2: Yoshi's Island,Any%,spike
1,29,Yoshi's Safari,Any%,pie
1,30,The Legend of Zelda,"Any%, Hard",pie
2,31,Super Mario 64,Any%,spike
2,31,Super Mario Sunshine,Any%,spike
2,31,Super Mario Galaxy,Any%,spike
2,31,Super Mario Galaxy 2,Any%,spike
2,32,Banjo-Kazooie,100%,pie
2,33,Diddy Kong Racing,100%,spike
2,34,Donkey Kong Country,Any%,spike
2,34,Donkey Kong Country 2: Diddy's Kong Quest,Any%,spike
2,34,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,spike
2,35,Glover,Any%,pie
2,36,GoldenEye 007,Any%,pie
2,37,Mario Golf: Toadstool Tour,Any%,pie
2,38,Mario Is Missing!,Any%,pie
2,39,Mario Party 3,Any%,spike
2,40,Mario Tennis,Any%,pie
2,41,Mega Man,Any%,spike
2,41,Mega Man 2,Any%,spike
2,41,Mega Man 3,Any%,spike
2,41,Mega Man 4,Any%,spike
2,41,Mega Man 5,Any%,spike
2,41,Mega Man 6,Any%,spike
2,41,Mega Man 7,Any%,spike
2,41,Mega Man 8,Any%,spike
2,42,Metroid Prime,Any%,pie
2,43,New Super Mario Bros. Wii,Any%,pie
2,44,The Legend of Zelda: Majora's Mask,Any%,pie
2,45,Pikmin,100%,pie
2,46,Pokemon Crystal,Any%,pie
2,47,Pokemon Snap,Any%,spike
2,48,Quest 64,Any%,pie
2,49,Super Mario Kart,Any%,pie
2,49,Mario Kart 64,Any%,pie
2,49,Mario Kart: Double Dash!!,Any%,pie
2,50,Super Mario RPG: Legend of the Seven Stars,Low%,pie
2,51,Star Fox 64,100%,pie
2,52,Super Mario 64,100%,spike
2,53,Super Mario Bros.,Challenge,spike
2,53,Super Mario Bros.: The Lost Levels,Challenge,spike
2,53,Super Mario Bros. 2,Challenge,spike
2,53,Super Mario Bros. 3,Challenge,spike
2,54,Super Mario Galaxy,"Any%, 100%",spike
2,55,Super Mario Galaxy 2,"Any%, 100%",spike
2,56,Super Mario Sunshine,"Any%, 100%",spike
2,57,Super Metroid,Any%,spike
2,58,Super Monkey Ball,Any%,pie
2,59,The Legend of Zelda: Breath of the Wild,Challenge,pie
2,60,The Legend of Zelda: A Link to the Past,Challenge,spike
2,61,The Legend of Zelda: Skyward Sword,Any%,spike
3,62,Super Monkey Ball,Any%,spike
3,63,Disney's Aladdin,Any%,spike
3,64,Banjo-Kazooie: Grunty's Revenge,Any%,spike
3,65,Battletoads,Any%,spike
3,66,Crash Team Racing,Any%,pie
3,67,Donkey Kong 64,Any%,pie
3,68,F-Zero,Any%,spike
3,69,Yu-Gi-Oh! Forbidden Memories,Any%,pie
