Game,MOMAM,is_nes,is_snes,is_n64,is_gcn,is_wii,is_wiiu,is_switch,is_gb,is_gba,is_ds,is_pc,is_playstation,is_2d,is_3d,is_mario,is_zelda,is_pokemon,is_starfox,is_pikmin,is_sonic,is_rare,is_sega,is_retrostudios,is_capcom,is_konami,is_disney,is_random,is_platformer,is_adventure,is_action,is_rpg,is_puzzle,is_beatem_up,is_racing,is_sports,fighting,is_rhythm,is_romhack,is_party,is_hundo,is_educational,is_shooter,is_strategy,is_card_collector,is_metroidvania,is_multigame,is_bonus,is_hardmode,is_sub_battle,pie_won_last,pie_playtime_last_year,spike_playtime_last_year,for_a_point,crowd_control,in_game_challenge,is_cpu,is_blind,aggregate_rating,winner,was_close,
Link to the Past,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.92,spike,0.5,"For ""was_close"", I arbitraily decide how close a race was, typically based on finish time."
Link's Adventure (Zelda 2) *BONUS*,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0.781,pie,0.5,The values used are as following
Link's Awakening DX,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0.5,0.903,pie,0.5,1: Extremely close (anyone can reasonably win within the last few minutes of the race)
Majora's Mask,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.916,pie,0.5,".75: Racers are ""somewhat"" close, usually denoted by both racers simultaneously being on the same level, but with one further ahead."
Mario Golf 64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.866,spike,0.5,.5: When I have no idea how close it was
Mario is Missing *BONUS*,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0.469,spike,0.5,".25: Not that close but sorta (Racers are within ~10 minutes of each other at the end, assuming an ~8 hour game.)"
Mario Kart 64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.865,pie,0.5,0: One racer finished far ahead of the other. There will be little question as to who will win well before the end.
Mario Party 3 Story Mode,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.735,spike,0.5,
Mario Teaches Typing (Bonus),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0.51,pie,0.5,
New Super Mario Brothers Wii U,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.843,pie,0.5,
